DATE,HOUR.MST,CLOUDCOVER
6/11/2017,14,81.1667
6/11/2017,15,47.05
6/11/2017,16,61.8833
6/11/2017,17,31.3
6/11/2017,18,86.0667
6/11/2017,19,69.3167
6/11/2017,20,0.5667
6/11/2017,21,-1
6/11/2017,22,-1
6/11/2017,23,-1
6/12/2017,0,-1
6/12/2017,1,-1
6/12/2017,2,-1
6/12/2017,3,-1
6/12/2017,4,-1
6/12/2017,5,-0.4667
6/12/2017,6,7.9
6/12/2017,7,10.35
6/12/2017,8,13.0667
6/12/2017,9,14.2333
6/12/2017,10,8.8833
6/12/2017,11,6.8667
6/12/2017,12,8.8833
6/12/2017,13,17.4737
6/12/2017,14,37.6833
6/12/2017,15,29.7333
6/12/2017,16,32.4667
6/12/2017,17,19.9667
6/12/2017,18,10.95
6/12/2017,19,8.1333
6/12/2017,20,-0.0167
6/12/2017,21,-1
6/12/2017,22,-1
6/12/2017,23,-1
6/13/2017,0,-1
6/13/2017,1,-1
6/13/2017,2,-1
6/13/2017,3,-1
6/13/2017,4,-1
6/13/2017,5,-0.4667
6/13/2017,6,8.05
6/13/2017,7,10.55
6/13/2017,8,12.6167
6/13/2017,9,12.2667
